# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-19 22:15:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /home/Lab_2/samples/code_4-20230319221541_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.246045
# Diagonal elements of inverse mass matrix:
# 0.768993
-0.71998,0.999204,0.246045,1,3,0,0.731943,0.38517
-0.702276,1,0.246045,2,3,0,0.721255,0.354297
-0.656066,0.999824,0.246045,2,5,0,0.75332,0.167509
-1.08931,0.6977,0.246045,2,4,1,2.01751,0.835505
-0.763492,0.666667,0.246045,1,3,1,2.47991,0.451963
-0.701558,0.999564,0.246045,2,7,0,0.812409,0.0992758
-0.67713,1,0.246045,1,1,0,0.696389,0.12366
-0.67713,0,0.246045,0,1,1,1.00781,0.12366
-0.928482,0.95545,0.246045,2,7,0,1.10196,0.659545
-0.765581,0.8,0.246045,2,5,1,0.968933,0.454953
-1.34206,0.74466,0.246045,2,4,1,2.13975,1.09108
-2.73289,0.898302,0.246045,3,10,1,2.76361,2.35786
-2.88605,0.999884,0.246045,1,3,0,3.00851,2.49141
-1.99914,0.857143,0.246045,2,7,1,3.24135,1.70616
-1.98329,0.999968,0.246045,2,3,0,2.05548,1.69179
-1.35369,0.857143,0.246045,2,7,1,2.13776,1.10246
-0.954915,0.9997,0.246045,2,7,0,1.62538,0.689604
-0.850214,1,0.246045,3,7,0,0.958577,0.566524
-0.683192,0.666667,0.246045,1,3,1,1.41382,0.316411
-0.715988,0.99867,0.246045,1,3,0,0.741077,0.378463
-0.662255,0.964907,0.246045,1,3,0,0.826468,0.26167
-1.07751,1,0.246045,1,1,0,1.24994,0.0144384
-0.711875,0.407028,0.246045,1,1,0,1.97948,0.37141
-0.817272,0.902858,0.246045,2,7,0,0.83637,0.524913
-0.703603,0.998598,0.246045,2,7,0,1.05536,0.356724
-0.660275,0.5,0.246045,1,2,1,1.06526,0.153802
-0.709075,0.991961,0.246045,2,5,0,0.788137,0.366519
-0.709297,0.999995,0.246045,1,1,0,0.711069,0.36691
-0.652723,0.998714,0.246045,2,5,0,0.712645,0.189402
